,geometry,hasc_2,circo_id,circo_name,circo_na_1,deleg_id,deleg_name,gov_id,gov_name_a,gov_name_f,adm_id,deleg_na_1,code_cereale,code_variete,superficie,production,cereale_text
3,"POLYGON ((10.056228 36.8428090000001, 10.07144 36.831745, 10.073467 36.83100100000013, 10.080264 36.828511, 10.076750000000118 36.82615, 10.07296 36.82508200000012, 10.067841000000158 36.823638, 10.061144 36.823055, 10.058920000000114 36.822861, 10.049391 36.81604, 10.043679000000111 36.810451000000114, 10.03326 36.811550000000125, 10.028687 36.812528, 10.028647000000149 36.812796, 10.028659 36.8141710000001, 10.02885300000014 36.81559, 10.029297 36.81697100000014, 10.029768 36.81774400000012, 10.030593 36.818683, 10.029843000000142 36.821473, 10.02933 36.82459, 10.029048000000103 36.825315, 10.028326 36.826294, 10.027994 36.827294, 10.027894 36.828587, 10.027973000000145 36.830421, 10.028140000000121 36.83181, 10.02848 36.833169, 10.028906 36.83402400000011, 10.029211 36.834417000000144, 10.029942 36.8351, 10.030769 36.835644, 10.03218 36.83637, 10.033307 36.837227, 10.034521000000154 36.83797, 10.036575 36.83979, 10.036813 36.840137, 10.037129000000107 36.84092, 10.037674 36.84397, 10.03813 36.845185, 10.038652 36.845805, 10.039868 36.84675, 10.041123 36.847886, 10.04074 36.848705, 10.040482 36.849508, 10.040269 36.8510720000001, 10.040646000000152 36.851626, 10.041132 36.852122, 10.041879 36.85252400000013, 10.043552 36.85315, 10.0442460000001 36.853613, 10.046272 36.855859, 10.046299000000147 36.855892, 10.055014 36.843692000000146, 10.05585 36.84308400000015, 10.056228 36.8428090000001))",TN.MN.DH,140.0,منوبة,Manubah,52.0,دوار هيشر,14.0,منوبة,Manubah,g14d52,Douar Hicher,1,3,93,2192,BD
4,"POLYGON ((10.261494000000141 36.887833, 10.255772 36.88633, 10.248846000000128 36.886026, 10.239709000000119 36.887229, 10.239516000000151 36.887049, 10.237101 36.887532, 10.233186 36.888436, 10.22144100000014 36.897771, 10.209094000000107 36.90921500000013, 10.196747 36.917346, 10.190724 36.91915300000011, 10.18801 36.923369, 10.18831 36.92698300000012, 10.192531000000145 36.930597, 10.202168 36.939932, 10.21391 36.94987, 10.218731 36.950472000000104, 10.2343 36.950472000000104, 10.23649 36.947719, 10.24672100000015 36.93953, 10.24975400000011 36.934849, 10.259094 36.93154100000015, 10.268512000000158 36.923858, 10.273717 36.919893, 10.274708000000146 36.91097100000013, 10.281152 36.906262, 10.281152 36.90105700000015, 10.274708000000146 36.89734, 10.273221 36.895109, 10.27149 36.892878, 10.27149 36.88916, 10.271178 36.888737, 10.268421 36.888737, 10.261494000000141 36.887833))",,120.0,أريانة,Ariana,-2.0,,12.0,أريانة,Ariana,g12d-2,Sebkhet Ariana,1,9,57,3747,BD
6,"POLYGON ((9.26936 35.703571, 9.275162 35.694001, 9.284324 35.683622, 9.284847 35.683198, 9.299583 35.67126900000011, 9.31231 35.66026, 9.328350000000114 35.651199, 9.34246 35.64503800000011, 9.355016 35.63039000000015, 9.361395 35.625292, 9.368351 35.619733, 9.383047000000147 35.61634100000015, 9.392015 35.60284, 9.3976 35.594167, 9.40654 35.58028100000013, 9.410645000000102 35.57674100000014, 9.416699 35.57152, 9.423253 35.565868, 9.42602 35.54588, 9.42896 35.528488, 9.43580500000013 35.51215, 9.436028000000135 35.51162, 9.436437 35.511236, 9.436771000000135 35.510922, 9.4377 35.50980700000014, 9.442724000000112 35.503779, 9.426403 35.49725, 9.38724 35.503779, 9.36765 35.49725, 9.336039 35.494612, 9.328487 35.493981, 9.323867 35.4926, 9.31946 35.493367, 9.311111000000153 35.49482, 9.315382 35.502998, 9.312963 35.511421, 9.31098 35.515493, 9.308872 35.51982000000015, 9.307437000000107 35.52275, 9.30435 35.52906000000013, 9.290999 35.541278, 9.281516 35.546299, 9.272086000000115 35.54758000000015, 9.266850000000147 35.548291, 9.266209 35.551463000000126, 9.265494 35.55500100000012, 9.260981 35.56321, 9.252017000000137 35.56116100000014, 9.248095000000149 35.56005300000015, 9.240979 35.55804100000012, 9.229055 35.558182, 9.217734 35.55988, 9.213146 35.561531, 9.202170000000137 35.56548, 9.195024 35.56973800000014, 9.189969 35.57275, 9.186966000000155 35.57454000000013, 9.182617 35.584992, 9.183559 35.58807400000012, 9.186597 35.5980100000001, 9.186721000000148 35.600257, 9.187085 35.606831, 9.173989 35.614368, 9.163785 35.6242, 9.150739000000158 35.62828, 9.141176 35.624309, 9.123588 35.624519, 9.112033 35.627072, 9.09989800000011 35.62667, 9.08719 35.62281, 9.081635 35.620395, 9.078053000000125 35.618839, 9.076354 35.619668000000104, 9.06644 35.62450100000012, 9.061639 35.63083200000011, 9.05830200000014 35.635231, 9.056519 35.638648, 9.05375 35.643951, 9.04542 35.65329100000014, 9.03354 35.650132, 9.023972 35.64625, 9.021485000000155 35.645241, 9.006814 35.64600000000013, 8.998798000000136 35.65039900000011, 8.994969 35.6525, 8.99249 35.6623, 8.987252000000126 35.67376, 8.98613 35.675429, 8.98015 35.68433, 8.974564000000157 35.686906, 8.962184 35.69262000000015, 8.953731 35.6966, 8.96475 35.70096, 8.98311 35.705292, 8.986292000000105 35.707197, 8.994721 35.71225, 8.995806 35.71350100000012, 8.999120000000119 35.71233, 8.999517 35.712126, 9.016674 35.70334, 9.02759 35.70198900000014, 9.028869 35.71271900000011, 9.0286 35.71376900000013, 9.025943 35.72406, 9.025733000000116 35.735802, 9.022688 35.73979000000014, 9.021415 35.741457, 9.033609 35.76356, 9.06082 35.783020000000135, 9.073473 35.793311, 9.079869 35.799885, 9.090339 35.815669, 9.093845 35.819301, 9.101074 35.82279800000015, 9.109834000000149 35.82443, 9.115746 35.82385, 9.118694000000119 35.823026, 9.12390100000016 35.820892, 9.128537 35.818087000000105, 9.146444 35.798202, 9.176533 35.768974, 9.181393 35.76631700000013, 9.184258 35.76540700000015, 9.193768 35.764012, 9.204752 35.74748, 9.209926 35.741073, 9.216593000000103 35.734888000000126, 9.233392 35.722569, 9.24858 35.71399, 9.25812 35.710788, 9.268107 35.71030200000013, 9.26936 35.703571))",TN.SL.RO,240.0,سليانـــة,Siliana,58.0,الروحية,24.0,سليانـــة,Siliana,g24d58,Rouhia,3,8,66,2356,Tr
